date,DBC,EEM,EFA,FXE,FXY,GLD,IEF,IWM,QQQ,SHY,SPY,TLT,UUP
2016-05-12,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-13,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-16,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-17,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-18,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-19,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-20,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-23,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-24,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-25,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-26,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-27,-0.11343824844817929,0.0,-0.0756364480277246,0.0,0.16738677289385934,0.11678055609841727,0.16738677289385934,-0.07267193546602571,0.0,0.16738677289385934,0.0,0.11316198827617095,0.0
2016-05-31,-0.09866902731077709,-0.014094167171550235,-0.08034054230343085,0.026977989618789163,0.17767331385516474,0.12158946834770407,0.17597275996352554,-0.06321033058351501,0.0,0.17597275996352554,0.0,0.12880783254658099,-0.03207965129370677
2016-06-01,-0.08389980617337489,-0.02818833434310047,-0.0850446365791371,0.05395597923757832,0.18795985481647015,0.12639838059699085,0.18455874703319175,-0.05374872570100431,0.0,0.18455874703319175,0.0,0.144453676816991,-0.06415930258741354
2016-06-02,-0.06913058503597269,-0.042282501514650704,-0.08974873085484335,0.08093396885636749,0.19824639577777556,0.13120729284627763,0.19314473410285796,-0.044287120818493605,0.0,0.19314473410285796,0.0,0.16009952108740105,-0.0962389538811203
2016-06-03,-0.0543613638985705,-0.056376668686200934,-0.09445282513054959,0.10791195847515665,0.20853293673908097,0.13601620509556445,0.20173072117252416,-0.034825515935982904,0.0,0.20173072117252416,0.0,0.17574536535781107,-0.12831860517482707
2016-06-06,-0.039592142761168306,-0.07047083585775117,-0.09915691940625584,0.1348899480939458,0.21881947770038637,0.14082511734485123,0.2103167082421904,-0.025363911053472202,0.0,0.2103167082421904,0.0,0.1913912096282211,-0.16039825646853384
2016-06-07,-0.024822921623766113,-0.08456500302930141,-0.10386101368196209,0.16186793771273497,0.22910601866169178,0.14563402959413801,0.2189026953118566,-0.0159023061709615,0.0,0.2189026953118566,0.0,0.20703705389863114,-0.1924779077622406
2016-06-08,-0.010053700486363922,-0.09865917020085165,-0.10856510795766834,0.18884592733152414,0.23939255962299721,0.15044294184342483,0.2274886823815228,-0.0064407012884508,0.0,0.2274886823815228,0.0,0.22268289816904116,-0.22455755905594738
2016-06-09,0.0,-0.10825334812189757,-0.11176727782617965,0.20721037761825392,0.246394811190873,0.15371646337646622,0.23333333333333334,0.0,0.0,0.23333333333333334,0.0,0.23333333333333334,-0.246394811190873
2016-06-10,0.0,-0.10825334812189757,-0.11176727782617965,0.20721037761825392,0.246394811190873,0.15371646337646622,0.23333333333333334,0.0,0.0,0.23333333333333334,0.0,0.23333333333333334,-0.246394811190873
2016-06-13,0.0,-0.10825334812189757,-0.11176727782617965,0.20721037761825392,0.246394811190873,0.15371646337646622,0.23333333333333334,0.0,0.0,0.23333333333333334,0.0,0.23333333333333334,-0.246394811190873
2016-06-14,0.0,-0.10825334812189757,-0.11176727782617965,0.20721037761825392,0.246394811190873,0.15371646337646622,0.23333333333333334,0.0,0.0,0.23333333333333334,0.0,0.23333333333333334,-0.246394811190873
2016-06-15,0.0,-0.10825334812189757,-0.11176727782617965,0.20721037761825392,0.246394811190873,0.15371646337646622,0.23333333333333334,0.0,0.0,0.23333333333333334,0.0,0.23333333333333334,-0.246394811190873
2016-06-16,0.0,-0.10825334812189757,-0.11176727782617965,0.20721037761825392,0.246394811190873,0.15371646337646622,0.23333333333333334,0.0,0.0,0.23333333333333334,0.0,0.23333333333333334,-0.246394811190873
2016-06-17,0.0,-0.10825334812189757,-0.11176727782617965,0.20721037761825392,0.246394811190873,0.15371646337646622,0.23333333333333334,0.0,0.0,0.23333333333333334,0.0,0.23333333333333334,-0.246394811190873
2016-06-20,0.0,-0.10825334812189757,-0.11176727782617965,0.20721037761825392,0.246394811190873,0.15371646337646622,0.23333333333333334,0.0,0.0,0.23333333333333334,0.0,0.23333333333333334,-0.246394811190873
2016-06-21,0.0,-0.10825334812189757,-0.11176727782617965,0.20721037761825392,0.246394811190873,0.15371646337646622,0.23333333333333334,0.0,0.0,0.23333333333333334,0.0,0.23333333333333334,-0.246394811190873
2016-06-22,0.0,-0.10825334812189757,-0.11176727782617965,0.20721037761825392,0.246394811190873,0.15371646337646622,0.23333333333333334,0.0,0.0,0.23333333333333334,0.0,0.23333333333333334,-0.246394811190873
2016-06-23,0.0,-0.10825334812189757,-0.11176727782617965,0.20721037761825392,0.246394811190873,0.15371646337646622,0.23333333333333334,0.0,0.0,0.23333333333333334,0.0,0.23333333333333334,-0.246394811190873
2016-06-24,0.0,-0.10825334812189757,-0.11176727782617965,0.20721037761825392,0.246394811190873,0.15371646337646622,0.23333333333333334,0.0,0.0,0.23333333333333334,0.0,0.23333333333333334,-0.246394811190873
2016-06-27,0.0,-0.10825334812189757,-0.11176727782617965,0.20721037761825392,0.246394811190873,0.15371646337646622,0.23333333333333334,0.0,0.0,0.23333333333333334,0.0,0.23333333333333334,-0.246394811190873
2016-06-28,0.0,-0.10825334812189757,-0.11176727782617965,0.20721037761825392,0.246394811190873,0.15371646337646622,0.23333333333333334,0.0,0.0,0.23333333333333334,0.0,0.23333333333333334,-0.246394811190873
2016-06-29,0.0,-0.10825334812189757,-0.11176727782617965,0.20721037761825392,0.246394811190873,0.15371646337646622,0.23333333333333334,0.0,0.0,0.23333333333333334,0.0,0.23333333333333334,-0.246394811190873
2016-06-30,0.0,-0.07961858378975119,-0.08220302215997731,0.1917798288193958,0.23951504328023063,0.15100187686266225,0.2260221611607221,0.0,0.0,0.2260221611607221,0.03796279234987068,0.2260221611607221,-0.23951504328023063
2016-07-01,0.0,-0.0509838194576048,-0.05263876649377497,0.17634928002053765,0.23263527536958825,0.1482872903488583,0.21871098898811087,0.0,0.0,0.21871098898811087,0.07592558469974137,0.21871098898811087,-0.23263527536958825
2016-07-05,0.0,-0.022349055125458425,-0.023074510827572642,0.16091873122167955,0.22575550745894588,0.14557270383505433,0.21139981681549963,0.0,0.0,0.21139981681549963,0.11388837704961205,0.21139981681549963,-0.22575550745894588
2016-07-06,0.0,0.0,0.0,0.14887539181362278,0.2203859395273986,0.14345400493688593,0.20569354355890535,0.0,0.0,0.20569354355890535,0.14351783476409763,0.20569354355890535,-0.2203859395273986
2016-07-07,0.0,0.0,0.0,0.14887539181362278,0.2203859395273986,0.14345400493688593,0.20569354355890535,0.0,0.0,0.20569354355890535,0.14351783476409763,0.20569354355890535,-0.2203859395273986
