date,gross_return,base_cost_return,stressed_cost_return,net_return,stressed_net_return,turnover,gross_leverage,net_exposure,nav,stressed_cost_nav
2012-07-02,0.005579278760997004,0.0,0.0,0.005579278760997004,0.005579278760997004,0.0,2.0,0.2225101921213029,1.1829977721588387,1.1750837449161882
2012-07-03,-0.014218356552384627,0.0,0.0,-0.014218356552384627,-0.014218356552384627,0.0,2.0,0.2225101921213029,1.1661774880336075,1.1583759852520583
2012-07-05,0.013651919092157495,0.0,0.0,0.013651919092157495,0.013651919092157495,0.0,2.0,0.2225101921213029,1.1820980487473378,1.1741900404810177
2012-07-06,0.015277616585543177,0.0,0.0,0.015277616585543177,0.015277616585543177,0.0,2.0,0.2225101921213029,1.2001576895026185,1.1921288657180502
2012-07-09,-0.0030363029182034966,0.0,0.0,-0.0030363029182034966,-0.0030363029182034966,0.0,2.0,0.2225101921213029,1.1965136472076774,1.188509201364196
2012-07-10,0.007989714543400604,0.0,0.0,0.007989714543400604,0.007989714543400604,0.0,2.0,0.2225101921213029,1.20607344969615,1.198005050615301
2012-07-11,-0.005164816084490943,0.0,0.0,-0.005164816084490943,-0.005164816084490943,0.0,2.0,0.2225101921213029,1.1998443021440819,1.1918175748605817
2012-07-12,0.004886196538647041,0.0,0.0,0.004886196538647041,0.004886196538647041,0.0,2.0,0.2225101921213029,1.2057069772201336,1.1976410297695643
2012-07-13,-0.00832325797909569,0.0,0.0,-0.00832325797909569,-0.00832325797909569,0.0,2.0,0.2225101921213029,1.1956715670015348,1.1876727545124424
2012-07-16,-0.0031563721823780816,0.0,0.0,-0.0031563721823780816,-0.0031563721823780816,0.0,2.0,0.2225101921213029,1.1918975825281908,1.183924017268331
2012-07-17,-0.0033444016378169554,0.0,0.0,-0.0033444016378169554,-0.0033444016378169554,0.0,2.0,0.2225101921213029,1.1879113983010734,1.179964499845928
2012-07-18,0.0004401461121191644,0.0,0.0,0.0004401461121191644,0.0004401461121191644,0.0,2.0,0.2225101921213029,1.1884342528845775,1.1804838566329736
2012-07-19,-0.004388476949683731,0.0,0.0,-0.004388476949683731,-0.004388476949683731,0.0,2.0,0.2225101921213029,1.183218836559579,1.1753033304386662
2012-07-20,0.009811575464524705,0.0,0.0,0.009811575464524705,0.009811575464524705,0.0,2.0,0.2225101921213029,1.1948280774655304,1.1868349077589724
2012-07-23,0.011846789083476942,0.0,0.0,0.011846789083476942,0.011846789083476942,0.0,2.0,0.2225101921213029,1.208982953690281,1.2008950905881008
2012-07-24,0.005739311351283415,0.0,0.0,0.005739311351283415,0.005739311351283415,0.0,2.0,0.2225101921213029,1.2159216832799036,1.2077874014132135
2012-07-25,-0.00863956003829363,0.0,0.0,-0.00863956003829363,-0.00863956003829363,0.0,2.0,0.2225101921213029,1.2054166548953438,1.1973526496452094
